id,餐廳名稱,地址
M_01,品禾臭臭鍋（師大總店）,500彰化縣彰化市實踐路187號
M_02,日沛義麵坊,500彰化縣彰化市實踐路174號
M_03,八方雲集 彰化實踐店,500彰化縣彰化市實踐路146號
N_02,大王原汁牛肉麵,彰化縣彰化市進德路2巷11號
N_03,台灣阿城小吃店,彰化縣彰化市力行路147號
N_05,府城,500彰化縣彰化市實踐路185號
N_06,老K餐飲店,500彰化縣彰化市實踐路162號500
N_07,白鳥餐飲店,500彰化縣彰化市實踐路158號
N_08,1+1炒麵,500彰化縣彰化市竹和路56號
R_01,品味自助餐,彰化縣彰化市力行路141號
R_02,蓋飯家族,彰化縣彰化市進德路8號
R_03,海盜飯鋪 各式炒飯・炒麵,500彰化縣彰化市進德路14-2號
R_04,品翔當歸鴨實踐店,500彰化縣彰化市實踐路193號
R_05,賞口飯,500彰化縣彰化市實踐路200號
R_06,御之味自助餐,500彰化縣彰化市實踐路192號
R_07,幸城自助餐便當,500彰化縣彰化市實踐路184號
R_08,品安美食館,500彰化縣彰化市實踐路179號
R_09,風味主題炒飯（彰化師大店）,500彰化縣彰化市實踐路177號
R_10,酷樂豬,500彰化縣彰化市實踐路168號
R_11,彰師大香港明煌燒臘快餐,500彰化縣彰化市實踐路130號
R_13,大眾素食館,500彰化縣彰化市實踐路171號500
R_14,長江素食自助餐,500彰化縣彰化市實踐路173號
